yourlist:M20211110A084FC58F6BBA219896F365D15F2EB442C8B28F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
YBR237W	P21372	PRP5_YEAST	reviewed	Pre-mRNA-processing ATP-dependent RNA helicase PRP5 (EC 3.6.4.13)	PRP5 RNA5 YBR237W YBR1603	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	849
YBR055C	P19735	PRP6_YEAST	reviewed	Pre-mRNA-splicing factor 6	PRP6 RNA6 YBR055C YBR0508	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	899
YHR165C	P33334	PRP8_YEAST	reviewed	Pre-mRNA-splicing factor 8	PRP8 DBF3 DNA39 RNA8 SLT21 USA2 YHR165C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2413
YDL030W	P19736	PRP9_YEAST	reviewed	Pre-mRNA-splicing factor PRP9	PRP9 YDL030W D2773	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	530
YKL116C	P28708	PRR1_YEAST	reviewed	Serine/threonine-protein kinase PRR1 (EC 2.7.11.1) (Pheromone response regulator 1)	PRR1 YKL116C YKL516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	518
YDL214C	Q12310	PRR2_YEAST	reviewed	Serine/threonine-protein kinase PRR2 (EC 2.7.11.1) (Pheromone response regulator 2)	PRR2 YDL214C D1014	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	699
YKL181W	P32895	KPR1_YEAST	reviewed	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 1)	PRS1 PPS1 PRP1 PRPS PRPS1 YKL181W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	427
YER099C	P38620	KPR2_YEAST	reviewed	Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 2)	PRS2 PRPS2 PRS YER099C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	318
YHL011C	P38689	KPR3_YEAST	reviewed	Ribose-phosphate pyrophosphokinase 3 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 3)	PRS3 PRPS3 YHL011C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	320
YBL068W	P38063	KPR4_YEAST	reviewed	Ribose-phosphate pyrophosphokinase 4 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 4)	PRS4 PRPS4 YBL068W YBL0619	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	326
YOL061W	Q12265	KPR5_YEAST	reviewed	Ribose-phosphate pyrophosphokinase 5 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 5)	PRS5 PRPS5 YOL061W O1213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	496
YOR361C	P06103	EIF3B_YEAST	reviewed	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Cell cycle regulation and translation initiation protein) (Eukaryotic translation initiation factor 3 90 kDa subunit) (eIF3 p90) (Translation initiation factor eIF3 p90 subunit)	PRT1 CDC63 YOR361C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	763
YBL064C	P34227	PRX1_YEAST	reviewed	Peroxiredoxin PRX1, mitochondrial (Prx) (EC 1.11.1.25) (EC 1.11.1.27) (1-Cys PRX) (Glutaredoxin-dependent peroxiredoxin) (Glutathione-dependent peroxiredoxin) (Mitochondrial thiol peroxidase) (mTPx) (Thioredoxin peroxidase)	PRX1 YBL064C YBL0503 YBL0524	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
YJL079C	P47032	PRY1_YEAST	reviewed	Protein PRY1 (Pathogenesis-related protein 1)	PRY1 YJL079C J1022	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	299
YKR013W	P36110	PRY2_YEAST	reviewed	Protein PRY2 (Pathogenesis-related protein 2)	PRY2 YKR013W YK111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	329
YJL078C	P47033	PRY3_YEAST	reviewed	Cell wall protein PRY3 (Pathogenesis-related protein 3)	PRY3 YJL078C J1027	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	881
YDL055C	P41940	MPG1_YEAST	reviewed	Mannose-1-phosphate guanyltransferase (EC 2.7.7.13) (ATP-mannose-1-phosphate guanylyltransferase) (GDP-mannose pyrophosphorylase) (NDP-hexose pyrophosphorylase)	PSA1 MPG1 SRB1 VIG9 YDL055C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361
YNL169C	P39006	PSD1_YEAST	reviewed	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]	PSD1 YNL169C N1692	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500
YGR170W	P53037	PSD2_YEAST	reviewed	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]	PSD2 YGR170W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1138
YMR308C	P32337	IMB3_YEAST	reviewed	Importin subunit beta-3 (Karyopherin subunit beta-3) (Karyopherin-121) (Protein secretion enhancer 1)	PSE1 KAP121 YMR308C YM9952.10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1089
YDR013W	Q12488	PSF1_YEAST	reviewed	DNA replication complex GINS protein PSF1 (Partner of Sld five 1)	PSF1 YDR013W PZA208 YD8119.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	208
YJL072C	P40359	PSF2_YEAST	reviewed	DNA replication complex GINS protein PSF2 (Partner of Sld five 2)	PSF2 YJL072C HRF213 J1086	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	213
YOL146W	Q12146	PSF3_YEAST	reviewed	DNA replication complex GINS protein PSF3 (Partner of Sld five 3)	PSF3 YOL146W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	194
YKL077W	P36081	PSG1_YEAST	reviewed	PMA1 stabilization in the Golgi protein 1 [Cleaved into: PSG1-N'; PSG1-C']	PSG1 YKL077W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	392
YOL054W	Q12161	PSH1_YEAST	reviewed	RING finger protein PSH1 (POB3/SPT16 histone-associated protein 1)	PSH1 YOL054W O1263	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	406
YAL017W	P31374	PSK1_YEAST	reviewed	Serine/threonine-protein kinase PSK1 (EC 2.7.11.1) (PAS kinase 1)	PSK1 YAL017W FUN31 YAL002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1356
YOL045W	Q08217	PSK2_YEAST	reviewed	Serine/threonine-protein kinase PSK2 (EC 2.7.11.1) (PAS kinase 2)	PSK2 YOL045W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1101
YMR137C	P30620	PSO2_YEAST	reviewed	DNA cross-link repair protein PSO2/SNM1 (EC 3.1.-.-)	PSO2 SNM1 YMR137C YM9375.06C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	661
YDR505C	P50896	PSP1_YEAST	reviewed	Protein PSP1 (Growth inhibitory protein 5) (Polymerase suppressor protein 1)	PSP1 GIN5 YDR505C D9719.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	841
YML017W	P50109	PSP2_YEAST	reviewed	Protein PSP2 (Mitochondrial regulator of splicing 15) (Polymerase suppressor protein 2)	PSP2 MRS15 YML017W YM9571.01	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	593
YLL010C	Q07800	PSR1_YEAST	reviewed	Phosphatase PSR1 (EC 3.1.3.-) (Plasma membrane sodium response protein 1)	PSR1 YLL010C L1341	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	427
YLR019W	Q07949	PSR2_YEAST	reviewed	Probable phosphatase PSR2 (EC 3.1.3.-) (Plasma membrane sodium response protein 2)	PSR2 YLR019W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	397
YDR055W	Q12355	PST1_YEAST	reviewed	Cell wall mannoprotein PST1 (Haze protective factor 2) (Protoplast secreted protein 1)	PST1 HPF2 YDR055W D4214 YD9609.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444
YDR032C	Q12335	PST2_YEAST	reviewed	Protoplast secreted protein 2	PST2 YDR032C D3422 YD9673.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	198
YNL201C	P40164	PP4R3_YEAST	reviewed	Serine/threonine-protein phosphatase 4 regulatory subunit 3 (PP4R3)	PSY2 YNL201C N1366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	858
YLR376C	Q12318	PSY3_YEAST	reviewed	Platinum sensitivity protein 3	PSY3 YLR376C L8039.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	242
YBL046W	P38193	PP4R2_YEAST	reviewed	Serine/threonine-protein phosphatase 4 regulatory subunit 2 (PP4R2)	PSY4 HTP3 YBL046W YBL0402	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	441
YAL043C	Q01329	PTA1_YEAST	reviewed	Pre-tRNA-processing protein PTA1	PTA1 YAL043C FUN39	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	785
YDL006W	P35182	PP2C1_YEAST	reviewed	Protein phosphatase 2C homolog 1 (PP2C-1) (EC 3.1.3.16)	PTC1 TPD1 YDL006W D2925	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	281
YER089C	P39966	PP2C2_YEAST	reviewed	Protein phosphatase 2C homolog 2 (PP2C-2) (EC 3.1.3.16)	PTC2 YER089C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	464
YBL056W	P34221	PP2C3_YEAST	reviewed	Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16)	PTC3 YBL056W YBL0511 YBL0513	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	468
YBR125C	P38089	PP2C4_YEAST	reviewed	Protein phosphatase 2C homolog 4 (PP2C-4) (EC 3.1.3.16)	PTC4 GCT1 YBR125C YBR0921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393
YOR090C	Q12511	PDP1_YEAST	reviewed	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Phosphatase two C protein 5) (Protein phosphatase 2C homolog 5) (PP2C-5) (Protein phosphatase of PDH protein 1) (Pyruvate dehydrogenase complex phosphatase 1) (PDC phosphatase 1)	PTC5 PPP1 YOR090C YOR3157C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	572
YCR079W	P25646	PDP2_YEAST	reviewed	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (PDP 2) (EC 3.1.3.16) (EC 3.1.3.43) (Autophagy-related protein phosphatase 1) (Phosphatase two C protein 6) (Protein phosphatase 2C homolog 6) (PP2C-6) (Protein phosphatase of PDH protein 2) (Pyruvate dehydrogenase complex phosphatase 2) (PDC phosphatase 2)	PTC6 AUP1 PPP2 YCR079W YCR79C YCR79W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	442
YHR076W	P38797	PP2C7_YEAST	reviewed	Protein phosphatase 2C homolog 7, mitochondrial (PP2C-7) (EC 3.1.3.16)	PTC7 YHR076W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	343
YHR189W	P38876	PTH_YEAST	reviewed	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	PTH1 YHR189W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	190
YBL057C	P34222	PTH2_YEAST	reviewed	Peptidyl-tRNA hydrolase 2 (PTH 2) (EC 3.1.1.29)	PTH2 YBL057C YBL0510 YBL0514	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	208
YOL114C	Q12322	YO114_YEAST	reviewed	Putative uncharacterized protein YOL114C	YOL114C HRE202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	202
YGR156W	P39927	PTI1_YEAST	reviewed	Protein PTI1	PTI1 YGR156W G6670	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	425
YKL198C	P36002	PTK1_YEAST	reviewed	Serine/threonine-protein kinase PTK1/STK1 (EC 2.7.11.1)	PTK1 POT1 STK1 YKL198C YKL199C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	662
YJR059W	P47116	PTK2_YEAST	reviewed	Serine/threonine-protein kinase PTK2/STK2 (EC 2.7.11.1)	PTK2 STK2 YJR059W J1725	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	818
YKL039W	P32857	PTM1_YEAST	reviewed	Membrane protein PTM1	PTM1 YKL039W YKL252	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523
YDL230W	P25044	PTP1_YEAST	reviewed	Tyrosine-protein phosphatase 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1) (PTPase 1)	PTP1 YDL230W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	335
YOR208W	P29461	PTP2_YEAST	reviewed	Tyrosine-protein phosphatase 2 (EC 3.1.3.48) (Protein-tyrosine phosphatase 2) (PTPase 2)	PTP2 YOR208W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	750
YER075C	P40048	PTP3_YEAST	reviewed	Tyrosine-protein phosphatase 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase 3) (PTPase 3)	PTP3 YER075C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	928
YKR093W	P32901	PTR2_YEAST	reviewed	Peptide transporter PTR2 (Peptide permease PTR2)	PTR2 YKR093W YKR413	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	601
YFR029W	P43606	PTR3_YEAST	reviewed	SPS-sensor component PTR3 (Peptide transport protein 3)	PTR3 APF3 SSY3 YFR029W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	678
YNL016W	P32588	PUB1_YEAST	reviewed	Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1 (ARS consensus-binding protein ACBP-60) (Poly uridylate-binding protein) (Poly(U)-binding protein)	PUB1 RNP1 YNL016W N2842	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	453
YPR042C	Q12221	PUF2_YEAST	reviewed	mRNA-binding protein PUF2 (Pumilio homology domain family member 2)	PUF2 YPR042C YP3085.06c YP9499.01	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1075
YLL013C	Q07807	PUF3_YEAST	reviewed	mRNA-binding protein PUF3 (Pumilio homology domain family member 3)	PUF3 YLL013C L1325	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	879
YGL014W	P25339	PUF4_YEAST	reviewed	Pumilio homology domain family member 4	PUF4 YGL014W YGL023	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	888
YDR496C	Q04373	PUF6_YEAST	reviewed	Pumilio homology domain family member 6	PUF6 YDR496C D9719.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	656
YER185W	P40100	PUG1_YEAST	reviewed	Protoporphyrin uptake protein 1	PUG1 YER185W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	303
YNR062C	P53748	YN91_YEAST	reviewed	Uncharacterized membrane protein YNR062C	YNR062C N3527	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	327
YNR063W	P53749	YN92_YEAST	reviewed	Uncharacterized transcriptional regulatory protein YNR063W	YNR063W N3531	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	607
YLR414C	Q06991	PUN1_YEAST	reviewed	Protein PUN1 (Plasma membrane protein up-regulated during nitrogen stress 1)	PUN1 YLR414C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	263
YOR157C	P25043	PSB2_YEAST	reviewed	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit PUP1) (Multicatalytic endopeptidase complex subunit PUP1) (Proteasome component PUP1) (Proteinase YSCE subunit PUP1)	PUP1 YOR157C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
YGR253C	P32379	PSA5_YEAST	reviewed	Proteasome subunit alpha type-5 (Macropain subunit PUP2) (Multicatalytic endopeptidase complex subunit PUP2) (Proteasome component PUP2) (Proteinase YSCE subunit PUP2)	PUP2 DOA5 YGR253C G9155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	260
YER094C	P25451	PSB3_YEAST	reviewed	Proteasome subunit beta type-3 (Macropain subunit PUP3) (Multicatalytic endopeptidase complex subunit PUP3) (Proteasome component PUP3)	PUP3 YER094C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	205
YGL063W	P53167	PUS2_YEAST	reviewed	tRNA pseudouridine(27/28) synthase (EC 5.4.99.44) (tRNA pseudouridine synthase 2) (tRNA pseudouridylate synthase 2) (tRNA-uridine isomerase 2)	PUS2 YGL063W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	370
YNL292W	P48567	PUS4_YEAST	reviewed	tRNA pseudouridine synthase 4 (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase 4) (tRNA-uridine isomerase 4)	PUS4 YNL292W N0480	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	403
YLR165C	Q06244	PUS5_YEAST	reviewed	21S rRNA pseudouridine(2819) synthase (EC 5.4.99.43) (Pseudouridine synthase 5) (Pseudouridylate synthase PUS5) (Uracil hydrolyase PUS5)	PUS5 YLR165C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254
YGR169C	P53294	PUS6_YEAST	reviewed	tRNA pseudouridine(31) synthase (EC 5.4.99.42) (Pseudouridine synthase 6) (Pseudouridylate synthase 6) (Uracil hydrolyase) (tRNA pseudouridine 31 synthase) (PSI31 synthase)	PUS6 YGR169C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	404
YOR243C	Q08647	PUS7_YEAST	reviewed	Multisubstrate pseudouridine synthase 7 (EC 5.4.99.-) (EC 5.4.99.27) (RNA pseudouridylate synthase 7) (RNA-uridine isomerase 7) (tRNA pseudouridine(13) synthase)	PUS7 YOR243C O5254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	676
YDL036C	Q12069	PUS9_YEAST	reviewed	tRNA pseudouridine(32) synthase, mitochondrial (EC 5.4.99.28) (tRNA pseudouridine synthase 9) (tRNA pseudouridylate synthase 9) (tRNA-uridine isomerase 9)	PUS9 YDL036C D2743	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	462
YLR142W	P09368	PUT1_YEAST	reviewed	Proline dehydrogenase, mitochondrial (EC 1.5.5.2) (Proline oxidase)	PUT1 YLR142W L3170 L9606.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	476
YHR037W	P07275	PUT2_YEAST	reviewed	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)	PUT2 YHR037W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	575
YKL015W	P25502	PUT3_YEAST	reviewed	Proline utilization trans-activator	PUT3 YKL015W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	979
YOR348C	P15380	PUT4_YEAST	reviewed	Proline-specific permease	PUT4 YOR348C O6345	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	627
YLR196W	P21304	PWP1_YEAST	reviewed	Periodic tryptophan protein 1	PWP1 YLR196W L8167.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	576
YCR057C	P25635	PWP2_YEAST	reviewed	Periodic tryptophan protein 2 (U three protein 1) (U3 small nucleolar RNA-associated protein 1) (U3 snoRNA-associated protein 1)	PWP2 UTP1 YCR057C YCR55C/YCR57C/YCR58C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	923
YPL147W	P41909	PXA1_YEAST	reviewed	Peroxisomal long-chain fatty acid import protein 2 (Peroxisomal ABC transporter 1)	PXA1 PAL1 PAT2 SSH2 YPL147W LPI1W P2607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	870
YKL188C	P34230	PXA2_YEAST	reviewed	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2)	PXA2 PAT1 YKL188C YKL741	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	853
YKR090W	P36166	PXL1_YEAST	reviewed	Paxillin-like protein 1	PXL1 YKR090W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	706
YEL020C	P39994	PXP1_YEAST	reviewed	Putative 2-hydroxyacyl-CoA lyase (EC 4.1.-.-) (Peroxisomal protein 1)	PXP1 YEL020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	560
YJR111C	P47148	PXP2_YEAST	reviewed	Peroxisomal protein 2	PXP2 YJR111C J2009	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	283
YGR280C	P53335	PXR1_YEAST	reviewed	Protein PXR1 (G-patch nucleolar protein) (PinX1-related protein 1)	PXR1 GNO1 YGR280C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	271
YGL062W	P11154	PYC1_YEAST	reviewed	Pyruvate carboxylase 1 (EC 6.4.1.1) (Pyruvic carboxylase 1) (PCB 1)	PYC1 PYV YGL062W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1178
YBR218C	P32327	PYC2_YEAST	reviewed	Pyruvate carboxylase 2 (EC 6.4.1.1) (Pyruvic carboxylase 2) (PCB 2)	PYC2 YBR218C YBR1507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1180
YNL010W	P53981	PYP1_YEAST	reviewed	Polyol phosphate phosphatase PYP1 (EC 3.1.3.50)	PYP1 YNL010W N2866	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	241
YPR186C	P39933	TF3A_YEAST	reviewed	Transcription factor IIIA (TFIIIA) (Putative zinc finger protein 1)	PZF1 TFC2 TFIIIA YPR186C P9677.9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	429
YHR001W-A	P37299	QCR10_YEAST	reviewed	Cytochrome b-c1 complex subunit 10, mitochondrial (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c oxidoreductase subunit 10) (Ubiquinol-cytochrome c reductase 8.5 kDa protein)	QCR10 YHR001W-A YHR001BW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	77
YPR191W	P07257	QCR2_YEAST	reviewed	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome c oxidoreductase core protein 2)	QCR2 COR2 UCR2 YPR191W P9677.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	368
YFR033C	P00127	QCR6_YEAST	reviewed	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)	QCR6 UCR6 YFR033C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	147
YDR529C	P00128	QCR7_YEAST	reviewed	Cytochrome b-c1 complex subunit 7, mitochondrial (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 7) (Ubiquinol-cytochrome c reductase 14 kDa protein)	QCR7 CRO1 UCR7 YDR529C D9719.32	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127
YJL166W	P08525	QCR8_YEAST	reviewed	Cytochrome b-c1 complex subunit 8, mitochondrial (Complex III subunit 8) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 8) (Ubiquinol-cytochrome c reductase complex 11 kDa protein) (Ubiquinone-binding protein QP-C)	QCR8 YJL166W J0526	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	94
YGR183C	P22289	QCR9_YEAST	reviewed	Cytochrome b-c1 complex subunit 9, mitochondrial (Complex III subunit 9) (Complex III subunit X) (Cytochrome c1 non-heme 7.3 kDa protein) (Ubiquinol-cytochrome c oxidoreductase subunit 9) (Ubiquinol-cytochrome c reductase 7.3 kDa protein)	QCR9 UCR9 YGR183C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	66
YIL121W	P40474	QDR2_YEAST	reviewed	Quinidine resistance protein 2	QDR2 YIL121W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	542
YBR043C	P38227	QDR3_YEAST	reviewed	Quinidine resistance protein 3 (Acids quinidine resistance protein 2)	QDR3 AQR2 YBR043C YBR0413	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	689
YHR074W	P38795	NADE_YEAST	reviewed	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	QNS1 YHR074W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	714
YDL103C	P43123	UAP1_YEAST	reviewed	UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23)	QRI1 UAP1 YDL103C D2362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	477
YLR204W	P32344	COX24_YEAST	reviewed	Mitochondrial mRNA-processing protein COX24 (Mitochondrial small ribosomal subunit protein mS38)	QRI5 COX24 YLR204W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111
YDL104C	P43122	QRI7_YEAST	reviewed	tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein QRI7) (tRNA threonylcarbamoyladenosine biosynthesis protein QRI7)	QRI7 YDL104C D2366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	407
YML095C	P06838	RAD10_YEAST	reviewed	DNA repair protein RAD10	RAD10 YML095C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	210
